datetime,open,high,low,close,volume
03-01-23 1:00,1827.97,1830.35,1826.38,1826.57,620
03-01-23 1:15,1826.53,1828.96,1823.71,1827.9,927
03-01-23 1:30,1827.86,1828.34,1827.01,1827.78,600
03-01-23 1:45,1827.7,1829.37,1827.68,1829.37,393
03-01-23 2:00,1829.38,1832.07,1828.77,1831.62,689
03-01-23 2:15,1831.67,1832.18,1830.22,1831.3,740
03-01-23 2:30,1831.31,1831.97,1831.16,1831.24,506
03-01-23 2:45,1831.2,1831.51,1830.18,1830.63,422
03-01-23 3:00,1830.59,1832.37,1827.49,1829.54,1541
03-01-23 3:15,1829.6,1830.8,1826.73,1828.18,1592
03-01-23 3:30,1828.19,1830.55,1826.9,1827.76,1344
03-01-23 3:45,1827.78,1829.91,1827.02,1828.5,1231
03-01-23 4:00,1828.52,1831.01,1828.33,1829.66,993
03-01-23 4:15,1829.58,1830.74,1828.29,1830.5,1062
03-01-23 4:30,1830.47,1838.46,1830.47,1838.22,1152
03-01-23 4:45,1838.28,1839.94,1837.26,1838.32,1153
03-01-23 5:00,1838.32,1841.34,1838.32,1840.95,1189
03-01-23 5:15,1840.95,1843.13,1839.97,1841.56,1134
03-01-23 5:30,1841.63,1841.75,1840.52,1841.03,836
03-01-23 5:45,1841.05,1842.12,1840.44,1841.19,818
03-01-23 6:00,1841.23,1842.03,1840.8,1841.81,654
03-01-23 6:15,1841.85,1841.85,1840.55,1841.13,630
03-01-23 6:30,1841.11,1842.1,1840.95,1841.8,603
03-01-23 6:45,1841.83,1842.11,1840.28,1840.4,718
03-01-23 7:00,1840.38,1841.14,1839.92,1840.04,743
03-01-23 7:15,1840.05,1840.69,1837.97,1838.15,841
03-01-23 7:30,1838.15,1840.1,1838.12,1840.02,890
03-01-23 7:45,1840.07,1840.94,1839.66,1840.37,840
03-01-23 8:00,1840.36,1842.4,1840.36,1842.3,1083
03-01-23 8:15,1842.34,1844.19,1841.71,1841.86,968
03-01-23 8:30,1841.84,1841.9,1840.01,1840.99,968
03-01-23 8:45,1840.95,1842.3,1840.32,1841.95,851
03-01-23 9:00,1841.97,1842.7,1841.06,1842.36,1043
03-01-23 9:15,1842.37,1847.63,1842.37,1847.22,1246
03-01-23 9:30,1847.22,1849.94,1846.93,1848.87,1448
03-01-23 9:45,1848.83,1849.19,1844.69,1847.5,1603
03-01-23 10:00,1847.52,1847.93,1842.33,1843.87,2361
03-01-23 10:15,1843.89,1844.34,1838.8,1840.54,2247
03-01-23 10:30,1840.55,1840.61,1836.42,1836.54,2237
03-01-23 10:45,1836.54,1837.28,1834.51,1836.1,2030
03-01-23 11:00,1836.11,1838.23,1834.8,1837.75,2499
03-01-23 11:15,1837.77,1841.47,1837.63,1841.4,1826
03-01-23 11:30,1841.42,1841.93,1837.57,1840.76,1893
03-01-23 11:45,1840.78,1841.24,1838.08,1838.85,1423
03-01-23 12:00,1838.77,1839.37,1838.11,1839.06,1296
03-01-23 12:15,1839.04,1839.21,1837.56,1838,1396
03-01-23 12:30,1837.98,1838.26,1834.45,1836.25,1429
03-01-23 12:45,1836.34,1836.55,1833.69,1834.44,967
03-01-23 13:00,1834.45,1834.85,1832.56,1832.67,1154
03-01-23 13:15,1832.68,1834.38,1831.62,1833.17,1286
03-01-23 13:30,1833.07,1833.53,1830.83,1831.21,1053
03-01-23 13:45,1831.21,1833.23,1830.89,1833.15,1284
03-01-23 14:00,1833.15,1833.97,1831.73,1833.59,1475
03-01-23 14:15,1833.57,1835.56,1833.27,1835.36,1057
03-01-23 14:30,1835.41,1836.39,1833.88,1835.51,1086
03-01-23 14:45,1835.52,1835.84,1833.71,1834.54,1070
03-01-23 15:00,1834.8,1837.99,1834.13,1837.09,2178
03-01-23 15:15,1837.08,1840.52,1836.94,1838.86,2066
03-01-23 15:30,1838.94,1840.38,1836.99,1839.84,1842
03-01-23 15:45,1839.86,1841.04,1838.46,1838.87,1799
03-01-23 16:00,1838.9,1839.1,1836.69,1838.85,1714
03-01-23 16:15,1838.81,1841.33,1838.77,1841.2,1430
03-01-23 16:30,1841.24,1849.14,1839.45,1847.61,3409
03-01-23 16:45,1848.11,1849.81,1844.93,1844.93,2512
03-01-23 17:00,1844.8,1845.41,1837.81,1839.04,2925
03-01-23 17:15,1839.03,1840.07,1832.59,1833.63,3000
03-01-23 17:30,1833.57,1833.57,1827.6,1828.74,3340
03-01-23 17:45,1828.76,1834.03,1828.24,1833.21,2724
03-01-23 18:00,1833.21,1834.2,1828.83,1829.64,2440
03-01-23 18:15,1829.64,1830.66,1828.23,1829.95,2096
03-01-23 18:30,1829.94,1831.56,1828.7,1831.23,1987
03-01-23 18:45,1831.23,1834.26,1828.52,1834.26,1894
03-01-23 19:00,1834.26,1836.13,1833.97,1835.93,1376
03-01-23 19:15,1835.87,1837.82,1835.28,1837.34,1281
03-01-23 19:30,1837.34,1838.74,1836.78,1838.55,1094
03-01-23 19:45,1838.53,1839.21,1836.72,1839.21,1088
03-01-23 20:00,1839.19,1839.51,1837.31,1838.83,884
03-01-23 20:15,1838.85,1840.22,1837.46,1840.05,1246
03-01-23 20:30,1840.14,1840.16,1837.99,1838.91,1036
03-01-23 20:45,1838.95,1839.92,1838.47,1838.8,949
03-01-23 21:00,1838.86,1839.19,1837.9,1838.17,917
03-01-23 21:15,1838.15,1838.39,1836.52,1837.09,797
03-01-23 21:30,1837.12,1837.65,1836.56,1837.64,769
03-01-23 21:45,1837.65,1839.19,1837.21,1839.03,1086
03-01-23 22:00,1839.09,1839.53,1838.15,1839.01,850
03-01-23 22:15,1838.98,1839.48,1837.48,1838.36,857
03-01-23 22:30,1838.32,1838.71,1836.66,1836.91,853
03-01-23 22:45,1836.93,1838.41,1836.67,1838.17,837
03-01-23 23:00,1838.15,1838.71,1837.8,1838.44,298
03-01-23 23:15,1838.44,1839.29,1838.44,1839.29,260
03-01-23 23:30,1839.29,1839.62,1838.85,1839.53,165
03-01-23 23:45,1839.53,1839.68,1839.19,1839.48,120
04-01-23 1:00,1838.37,1838.54,1837.85,1838.52,129
04-01-23 1:15,1838.47,1839.08,1837.27,1838.01,442
04-01-23 1:30,1837.96,1838.02,1836.69,1836.82,227
04-01-23 1:45,1836.72,1837.11,1836.39,1836.4,338
04-01-23 2:00,1836.39,1838.11,1836.1,1837.42,778
04-01-23 2:15,1837.46,1838.99,1837.46,1837.72,468
04-01-23 2:30,1837.69,1838.53,1837.51,1838.16,394
04-01-23 2:45,1838.15,1839.22,1837.98,1838.7,486
04-01-23 3:00,1838.75,1839.86,1838.15,1838.63,916
04-01-23 3:15,1838.76,1840.43,1838.69,1839.89,907
04-01-23 3:30,1839.86,1842.68,1839.2,1842.11,1291
04-01-23 3:45,1842.13,1844.52,1841.26,1844.26,1079
04-01-23 4:00,1844.3,1845.74,1843.98,1844.78,948
04-01-23 4:15,1844.78,1845.12,1843.43,1844.37,795
04-01-23 4:30,1844.37,1845.34,1844.01,1844.98,688
04-01-23 4:45,1844.97,1846.02,1844.72,1845.75,703
04-01-23 5:00,1845.67,1847.14,1845.14,1845.89,828
04-01-23 5:15,1845.91,1846.46,1845.4,1845.66,691
04-01-23 5:30,1845.64,1846.01,1845.1,1845.71,502
04-01-23 5:45,1845.72,1845.75,1845.21,1845.62,555
04-01-23 6:00,1845.6,1846.48,1845.41,1845.75,373
04-01-23 6:15,1845.71,1846.67,1845.62,1845.81,521
04-01-23 6:30,1845.8,1846.32,1845.56,1846.32,561
04-01-23 6:45,1846.36,1846.8,1845.66,1846.61,742
04-01-23 7:00,1846.58,1847.09,1845.55,1845.98,934
04-01-23 7:15,1845.98,1846.35,1844.79,1844.85,583
04-01-23 7:30,1844.93,1845.46,1844.68,1845.46,903
04-01-23 7:45,1845.57,1846.89,1845.18,1846.36,720
04-01-23 8:00,1846.36,1847.58,1845.74,1847.46,732
04-01-23 8:15,1847.51,1849,1846.99,1848.45,723
04-01-23 8:30,1848.48,1848.51,1845.95,1846.71,776
