entry_time,exit_time,direction,entry_price,exit_price,sl_price,lots,pnl,highest_rr,closed_rr,exit_reason
2024-01-02 16:45:00,2024-01-02 21:45:00,LONG,37597.35,37643.76,37536.34,0.03,139.23,3.17,0.76,Opposite signal — full exit
2024-01-03 20:00:00,2024-01-03 21:00:00,LONG,37550.7,37486.74,37486.74,0.03,-191.87,0.57,-1.0,SL hit
2024-01-03 23:00:00,2024-01-04 09:30:00,SHORT,37430.07,37486.7,37509.41,0.03,-169.89,0.23,-0.71,Opposite signal — full exit
2024-01-04 19:45:00,2024-01-05 15:30:00,SHORT,37525.67,37275.67,37593.43,0.01,375.0,4.14,3.69,TP1 (+50pts) — 50% partial
2024-01-04 19:45:00,2024-01-05 16:30:00,SHORT,37525.67,37433.73,37525.67,0.01,137.91,4.14,1.36,Opposite signal — runner 50%
2024-01-05 19:15:00,2024-01-05 20:30:00,SHORT,37372.1,37458.21,37458.21,0.02,-172.21,0.65,-1.0,SL hit
2024-01-05 21:15:00,2024-01-05 21:45:00,LONG,37507.01,37423.57,37423.57,0.02,-166.87,0.08,-1.0,SL hit
2024-01-08 04:00:00,2024-01-08 17:30:00,SHORT,37335.2,37387.53,37387.53,0.04,-209.34,2.34,-1.0,SL hit
2024-01-09 10:15:00,2024-01-09 19:00:00,SHORT,37589.45,37521.41,37609.64,0.1,680.4,11.35,3.37,Opposite signal — full exit
2024-01-10 14:00:00,2024-01-10 14:00:00,SHORT,37474.86,37502.56,37502.56,0.07,-193.89,0.13,-1.0,SL hit
2024-01-10 16:30:00,2024-01-10 17:15:00,LONG,37544.39,37539.49,37510.9,0.06,-29.4,3.41,-0.15,Opposite signal — full exit
2024-01-10 21:30:00,2024-01-10 22:45:00,LONG,37685.37,37626.32,37626.32,0.03,-177.15,0.94,-1.0,SL hit
2024-01-11 11:45:00,2024-01-11 15:30:00,SHORT,37731.5,37759.22,37759.22,0.07,-194.02,5.14,-1.0,SL hit
2024-01-11 16:30:00,2024-01-11 16:30:00,LONG,37761.15,37694.75,37694.75,0.03,-199.21,0.6,-1.0,SL hit
2024-01-11 17:00:00,2024-01-11 21:00:00,SHORT,37612.68,37648.19,37693.69,0.02,-71.02,2.37,-0.44,Opposite signal — full exit
2024-01-12 10:00:00,2024-01-12 10:00:00,SHORT,37640.47,37668.1,37668.1,0.07,-193.44,0.0,-1.0,SL hit
2024-01-12 10:15:00,2024-01-12 12:45:00,LONG,37719.24,37684.87,37684.87,0.06,-206.2,2.24,-1.0,SL hit
2024-01-12 13:00:00,2024-01-12 13:45:00,SHORT,37697.89,37447.89,37747.4,0.02,500.0,5.1,5.05,TP1 (+50pts) — 50% partial
2024-01-12 13:00:00,2024-01-12 16:15:00,SHORT,37697.89,37677.89,37697.89,0.02,40.0,5.1,0.4,Opposite signal — runner 50%
2024-01-12 17:15:00,2024-01-15 11:30:00,SHORT,37566.69,37583.7,37663.63,0.02,-34.02,1.03,-0.18,Opposite signal — full exit
2024-01-15 15:15:00,2024-01-15 15:15:00,SHORT,37506.2,37556.68,37556.68,0.04,-201.9,0.02,-1.0,SL hit
2024-01-16 11:15:00,2024-01-16 11:15:00,LONG,37455.7,37417.66,37417.66,0.05,-190.18,0.09,-1.0,SL hit
2024-01-16 16:45:00,2024-01-16 17:00:00,SHORT,37371.35,37444.39,37444.39,0.03,-219.13,0.75,-1.0,SL hit
2024-01-17 17:15:00,2024-01-17 19:30:00,LONG,37313.26,37254.12,37254.12,0.03,-177.41,0.97,-1.0,SL hit
2024-01-17 20:30:00,2024-01-17 22:45:00,SHORT,37204.67,37268.83,37268.83,0.03,-192.48,1.17,-1.0,SL hit
2024-01-18 13:00:00,2024-01-18 13:30:00,LONG,37308.2,37275.16,37275.16,0.06,-198.22,0.77,-1.0,SL hit
2024-01-18 14:00:00,2024-01-18 17:30:00,SHORT,37237.7,37278.32,37278.32,0.05,-203.12,2.89,-1.0,SL hit
2024-01-18 17:45:00,2024-01-18 18:00:00,LONG,37266.75,37196.46,37196.46,0.03,-210.87,0.17,-1.0,SL hit
2024-01-19 16:30:00,2024-01-19 18:00:00,SHORT,37574.2,37620.27,37620.27,0.04,-184.29,2.8,-1.0,SL hit
2024-01-22 18:45:00,2024-01-23 22:15:00,SHORT,37971.69,37925.98,38028.69,0.04,182.84,3.04,0.8,Opposite signal — full exit
2024-01-24 17:00:00,2024-01-24 17:30:00,SHORT,37975.85,38017.36,38017.36,0.05,-207.57,1.28,-1.0,SL hit
2024-01-24 20:00:00,2024-01-24 20:00:00,LONG,38045.69,37991.56,37991.56,0.04,-216.51,0.05,-1.0,SL hit
2024-01-24 20:45:00,2024-01-25 15:45:00,SHORT,37921.57,37887.7,37982.75,0.03,101.61,2.75,0.55,Opposite signal — full exit
2024-01-25 19:15:00,2024-01-25 21:45:00,SHORT,37832.36,37915.77,37915.77,0.02,-166.82,0.49,-1.0,SL hit
2024-01-25 23:00:00,2024-01-26 01:30:00,LONG,38055.8,37971.15,37971.15,0.02,-169.3,0.03,-1.0,SL hit
2024-01-26 08:30:00,2024-01-26 09:15:00,SHORT,37901.67,37932.2,37932.2,0.07,-213.73,0.15,-1.0,SL hit
2024-01-26 12:00:00,2024-01-26 16:15:00,LONG,37978.41,37980.22,37945.66,0.06,10.86,2.79,0.06,Opposite signal — full exit
2024-01-26 16:45:00,2024-01-26 17:00:00,LONG,38120.17,38059.39,38059.39,0.03,-182.35,0.06,-1.0,SL hit
2024-01-26 20:45:00,2024-01-26 21:45:00,SHORT,38037.9,38111.55,38111.55,0.03,-220.94,0.24,-1.0,SL hit
2024-01-29 09:45:00,2024-01-29 11:00:00,LONG,38090.2,38070.77,38070.77,0.1,-194.32,0.82,-1.0,SL hit
2024-01-29 11:45:00,2024-01-29 12:30:00,SHORT,38056.7,38079.6,38079.6,0.09,-206.1,0.9,-1.0,SL hit
2024-01-29 13:45:00,2024-01-29 16:15:00,LONG,38093.7,38071.72,38071.72,0.09,-197.86,0.75,-1.0,SL hit
2024-01-29 18:00:00,2024-01-29 19:15:00,SHORT,38081.51,38129.87,38129.87,0.04,-193.43,0.19,-1.0,SL hit
2024-01-29 22:15:00,2024-01-30 09:15:00,LONG,38237.61,38253.2,38185.75,0.04,62.36,2.09,0.3,Opposite signal — full exit
2024-01-30 10:45:00,2024-01-30 13:15:00,LONG,38295.7,38273.07,38273.07,0.09,-203.64,0.33,-1.0,SL hit
2024-01-30 15:15:00,2024-01-30 16:15:00,SHORT,38248.2,38273.06,38273.06,0.08,-198.89,0.44,-1.0,SL hit
2024-01-30 17:00:00,2024-01-30 17:00:00,LONG,38331.53,38297.78,38297.78,0.06,-202.49,0.07,-1.0,SL hit
