entry_time,exit_time,direction,entry_price,exit_price,sl_price,lots,pnl,highest_rr,closed_rr,exit_reason
2026-01-02 15:30:00,2026-01-05 01:00:00,SHORT,4374.58,4370.09,4386.82,0.16,71.84,5.3,0.37,Opposite signal
2026-01-05 01:15:00,2026-01-05 01:30:00,LONG,4370.17,4356.03,4356.03,0.14,-198.0,0.16,-1.0,SL hit
2026-01-05 14:30:00,2026-01-05 16:00:00,SHORT,4415.75,4427.02,4427.02,0.18,-202.9,1.75,-1.0,SL hit
2026-01-06 12:00:00,2026-01-06 13:30:00,SHORT,4446.27,4457.92,4457.92,0.17,-198.11,0.32,-1.0,SL hit
2026-01-06 16:15:00,2026-01-07 03:00:00,LONG,4471.79,4470.96,4460.6,0.18,-14.94,2.56,-0.07,Opposite signal
2026-01-07 03:15:00,2026-01-07 18:30:00,SHORT,4471.1,4467.63,4481.92,0.18,62.46,4.4,0.32,Opposite signal
2026-01-07 18:45:00,2026-01-07 19:45:00,LONG,4467.63,4451.31,4451.31,0.12,-195.88,0.04,-1.0,SL hit
2026-01-08 03:45:00,2026-01-08 15:15:00,SHORT,4447.48,4434.34,4458.52,0.18,236.52,3.59,1.19,Opposite signal
2026-01-08 15:30:00,2026-01-08 15:45:00,LONG,4434.34,4421.95,4421.95,0.16,-198.26,0.1,-1.0,SL hit
2026-01-12 16:30:00,2026-01-12 16:30:00,SHORT,4586.54,4601.08,4601.08,0.14,-203.61,0.07,-1.0,SL hit
2026-01-12 17:15:00,2026-01-12 22:00:00,LONG,4617.47,4600.5,4600.5,0.12,-203.63,0.75,-1.0,SL hit
2026-01-12 22:45:00,2026-01-13 01:00:00,SHORT,4592.7,4605.65,4605.65,0.15,-194.28,1.13,-1.0,SL hit
2026-01-13 15:15:00,2026-01-13 18:15:00,LONG,4602.71,4598.7,4591.98,0.19,-76.19,2.94,-0.37,Opposite signal
2026-01-13 18:30:00,2026-01-13 19:00:00,SHORT,4598.62,4615.57,4615.57,0.12,-203.36,0.11,-1.0,SL hit
2026-01-14 03:15:00,2026-01-14 16:45:00,LONG,4615.31,4617.64,4603.17,0.16,37.28,2.17,0.19,Opposite signal
2026-01-14 17:00:00,2026-01-14 20:30:00,SHORT,4617.64,4631.05,4631.05,0.15,-201.19,1.35,-1.0,SL hit
2026-01-14 21:00:00,2026-01-14 23:15:00,LONG,4635.1,4621.22,4621.22,0.14,-194.3,0.56,-1.0,SL hit
2026-01-15 01:30:00,2026-01-15 12:30:00,SHORT,4609.1,4618.01,4623.48,0.14,-124.74,1.95,-0.62,Opposite signal
2026-01-15 12:45:00,2026-01-15 15:15:00,LONG,4618.01,4607.17,4607.17,0.18,-195.15,0.47,-1.0,SL hit
2026-01-15 15:45:00,2026-01-15 16:15:00,SHORT,4590.03,4600.72,4600.72,0.19,-203.2,0.74,-1.0,SL hit
2026-01-15 17:00:00,2026-01-16 03:00:00,LONG,4611.05,4597.74,4597.74,0.15,-199.68,1.04,-1.0,SL hit
2026-01-16 04:45:00,2026-01-16 07:30:00,SHORT,4595.89,4605.93,4605.93,0.2,-200.89,0.4,-1.0,SL hit
2026-01-16 13:45:00,2026-01-16 14:15:00,LONG,4615.44,4605.89,4605.89,0.21,-200.52,0.06,-1.0,SL hit
2026-01-16 15:15:00,2026-01-16 16:00:00,SHORT,4596.17,4605.91,4605.91,0.21,-204.63,1.38,-1.0,SL hit
2026-01-16 16:45:00,2026-01-16 17:15:00,LONG,4608.72,4595.88,4595.88,0.16,-205.42,0.89,-1.0,SL hit
2026-01-16 18:45:00,2026-01-20 02:15:00,LONG,4596.21,4659.76,4574.75,0.09,571.95,4.4,2.96,Opposite signal
2026-01-20 02:30:00,2026-01-20 02:30:00,SHORT,4659.76,4666.43,4666.43,0.3,-200.0,0.01,-1.0,SL hit
2026-01-20 03:45:00,2026-01-20 17:15:00,LONG,4673.2,4724.21,4665.28,0.25,1275.25,9.78,6.44,Opposite signal
2026-01-20 17:30:00,2026-01-20 17:45:00,SHORT,4724.21,4739.16,4739.16,0.13,-194.39,0.09,-1.0,SL hit
2026-01-20 19:30:00,2026-01-21 08:45:00,LONG,4755.06,4847.61,4740.57,0.14,1295.7,9.22,6.39,Opposite signal
2026-01-21 09:00:00,2026-01-21 10:15:00,SHORT,4847.61,4868.06,4868.06,0.1,-204.54,0.74,-1.0,SL hit
2026-01-21 16:00:00,2026-01-21 16:00:00,LONG,4879.33,4864.35,4864.35,0.13,-194.76,0.1,-1.0,SL hit
