entry_time,exit_time,direction,entry_price,exit_price,sl_price,lots,pnl,highest_rr,closed_rr,exit_reason
2026-01-02 16:30:00,2026-01-02 16:45:00,SHORT,48180.49,48060.89,48219.09,5.18,619.53,9.45,3.1,Opposite signal
2026-01-02 17:00:00,2026-01-02 17:15:00,LONG,48061.14,47967.42,47967.42,2.13,-199.62,0.74,-1.0,SL hit
2026-01-05 15:15:00,2026-01-05 15:45:00,SHORT,48327.14,48372.06,48372.06,4.45,-199.91,0.66,-1.0,SL hit
2026-01-05 16:15:00,2026-01-05 22:45:00,LONG,48440.64,48976.69,48385.85,3.65,1956.58,13.92,9.78,Opposite signal
2026-01-05 23:00:00,2026-01-06 14:45:00,SHORT,48976.89,48943.84,49069.25,2.17,71.72,1.56,0.36,Opposite signal
2026-01-06 15:00:00,2026-01-06 15:15:00,LONG,48943.94,48904.86,48904.86,5.12,-200.11,0.09,-1.0,SL hit
2026-01-07 11:45:00,2026-01-07 15:15:00,SHORT,49481.34,49510.39,49510.39,6.89,-200.14,0.85,-1.0,SL hit
2026-01-07 15:45:00,2026-01-07 16:30:00,LONG,49526.74,49496.59,49496.59,6.63,-199.9,2.85,-1.0,SL hit
2026-01-08 10:30:00,2026-01-08 11:30:00,LONG,48891.89,48852.36,48852.36,5.06,-200.03,0.14,-1.0,SL hit
2026-01-08 14:15:00,2026-01-08 15:30:00,SHORT,48808.34,48848.62,48848.62,4.97,-200.19,0.66,-1.0,SL hit
2026-01-08 16:45:00,2026-01-09 16:15:00,LONG,48920.19,49265.45,48855.32,3.08,1063.4,7.97,5.32,Opposite signal
2026-01-09 16:30:00,2026-01-09 16:30:00,SHORT,49264.7,49324.31,49324.31,3.36,-200.28,0.0,-1.0,SL hit
2026-01-09 17:30:00,2026-01-09 17:45:00,LONG,49429.49,49310.86,49310.86,1.69,-200.49,0.14,-1.0,SL hit
2026-01-12 02:45:00,2026-01-12 16:15:00,SHORT,49348.84,49217.59,49419.59,2.83,371.44,4.06,1.86,Opposite signal
2026-01-12 16:30:00,2026-01-12 16:30:00,LONG,49219.09,49168.95,49168.95,3.99,-200.05,1.4,-1.0,SL hit
2026-01-13 12:15:00,2026-01-13 13:30:00,SHORT,49507.24,49532.3,49532.3,7.98,-199.95,1.38,-1.0,SL hit
2026-01-13 14:00:00,2026-01-13 14:15:00,LONG,49575.59,49537.18,49537.18,5.21,-200.1,0.0,-1.0,SL hit
2026-01-13 15:00:00,2026-01-13 15:30:00,SHORT,49473.54,49515.93,49515.93,4.72,-200.07,0.51,-1.0,SL hit
2026-01-13 16:45:00,2026-01-14 11:00:00,SHORT,49377.84,49114.34,49469.02,2.19,577.06,3.67,2.89,Opposite signal
2026-01-14 11:15:00,2026-01-14 12:15:00,LONG,49114.64,49081.98,49081.98,6.12,-199.87,0.46,-1.0,SL hit
2026-01-14 12:45:00,2026-01-14 14:15:00,SHORT,49044.34,49081.51,49081.51,5.38,-199.96,1.31,-1.0,SL hit
2026-01-14 17:15:00,2026-01-14 17:15:00,LONG,49134.94,49042.81,49042.81,2.17,-199.93,0.16,-1.0,SL hit
2026-01-14 17:45:00,2026-01-14 18:15:00,SHORT,48942.59,49051.73,49051.73,1.83,-199.73,0.62,-1.0,SL hit
2026-01-14 23:00:00,2026-01-14 23:45:00,LONG,49153.64,49027.94,49027.94,1.59,-199.87,0.14,-1.0,SL hit
2026-01-15 15:15:00,2026-01-15 16:15:00,SHORT,49121.54,49181.22,49181.22,3.35,-199.94,0.54,-1.0,SL hit
2026-01-15 16:45:00,2026-01-16 11:45:00,LONG,49266.67,49472.74,49184.89,2.45,504.87,3.99,2.52,Opposite signal
2026-01-16 12:00:00,2026-01-16 16:30:00,SHORT,49472.64,49501.94,49501.94,6.83,-200.13,3.49,-1.0,SL hit
2026-01-19 10:30:00,2026-01-19 11:15:00,LONG,49008.64,48953.53,48953.53,3.63,-200.05,0.8,-1.0,SL hit
2026-01-19 11:45:00,2026-01-19 12:15:00,SHORT,48858.89,48929.24,48929.24,2.84,-199.8,0.0,-1.0,SL hit
2026-01-19 14:45:00,2026-01-19 16:15:00,LONG,48997.74,48931.08,48931.08,3.0,-199.97,0.37,-1.0,SL hit
2026-01-20 08:30:00,2026-01-20 13:30:00,SHORT,48755.57,48683.84,48805.36,4.02,288.35,5.44,1.44,Opposite signal
2026-01-20 13:45:00,2026-01-20 15:30:00,LONG,48683.64,48610.73,48610.73,2.74,-199.78,1.1,-1.0,SL hit
2026-01-20 20:45:00,2026-01-21 16:00:00,SHORT,48543.64,48541.39,48673.61,1.54,3.46,1.9,0.02,Opposite signal
2026-01-21 16:15:00,2026-01-21 19:00:00,LONG,48540.09,48602.99,48452.38,2.28,143.41,5.47,0.72,Opposite signal
2026-01-21 19:15:00,2026-01-21 19:15:00,SHORT,48602.84,48742.2,48742.2,1.44,-200.68,0.12,-1.0,SL hit
2026-01-21 21:30:00,2026-01-22 08:15:00,LONG,49050.08,49076.19,48871.14,1.12,29.24,1.38,0.15,Opposite signal
2026-01-22 08:30:00,2026-01-22 08:45:00,SHORT,49075.69,49120.35,49120.35,4.48,-200.09,0.03,-1.0,SL hit
2026-01-22 10:15:00,2026-01-22 21:45:00,LONG,49172.64,49395.79,49121.89,3.94,879.21,8.63,4.4,Opposite signal
2026-01-22 22:00:00,2026-01-26 09:15:00,SHORT,49395.89,49048.44,49491.12,2.1,729.64,6.81,3.65,Opposite signal
2026-01-26 09:30:00,2026-01-26 11:30:00,LONG,49048.49,49030.74,49002.74,4.37,-77.57,1.83,-0.39,Opposite signal
2026-01-26 11:45:00,2026-01-26 12:30:00,SHORT,49030.54,49082.0,49082.0,3.89,-200.18,0.79,-1.0,SL hit
2026-01-26 16:00:00,2026-01-26 23:00:00,LONG,49151.94,49257.19,49098.99,3.78,397.84,6.1,1.99,Opposite signal
2026-01-26 23:15:00,2026-01-27 06:00:00,SHORT,49256.69,49350.12,49350.12,2.14,-199.95,0.63,-1.0,SL hit
2026-01-27 08:00:00,2026-01-27 10:30:00,LONG,49372.89,49340.96,49340.96,6.26,-199.89,0.69,-1.0,SL hit
2026-01-27 13:00:00,2026-01-27 18:15:00,SHORT,49315.29,49093.24,49355.15,5.02,1114.69,10.93,5.57,Opposite signal
2026-01-27 18:30:00,2026-01-27 19:00:00,LONG,49093.34,49001.05,49001.05,2.17,-200.27,0.69,-1.0,SL hit
2026-01-27 19:45:00,2026-01-27 22:00:00,SHORT,48906.44,49008.41,49008.41,1.96,-199.86,0.57,-1.0,SL hit
