entry_time,exit_time,direction,entry_price,exit_price,sl_price,lots,pnl,highest_rr,closed_rr,exit_reason
2026-01-02 15:30:00,2026-01-02 18:00:00,SHORT,4374.58,4324.58,4386.82,0.08,400.0,4.44,4.08,TP1 (+50pts) — 50% partial
2026-01-02 15:30:00,2026-01-05 01:15:00,SHORT,4374.58,4370.17,4374.58,0.08,35.28,5.3,0.36,Opposite signal — runner 50%
2026-01-05 13:30:00,2026-01-05 16:00:00,SHORT,4417.2,4416.83,4428.94,0.17,6.29,1.8,0.03,Opposite signal — full exit
2026-01-06 02:45:00,2026-01-06 03:45:00,SHORT,4436.54,4447.87,4447.87,0.18,-203.89,0.78,-1.0,SL hit
2026-01-06 04:15:00,2026-01-06 08:00:00,LONG,4459.48,4452.93,4446.22,0.15,-98.25,1.11,-0.49,Opposite signal — full exit
2026-01-06 09:15:00,2026-01-06 09:45:00,LONG,4468.57,4457.78,4457.78,0.19,-205.02,0.1,-1.0,SL hit
2026-01-06 12:00:00,2026-01-06 13:30:00,SHORT,4446.27,4457.92,4457.92,0.17,-198.11,0.32,-1.0,SL hit
2026-01-06 14:00:00,2026-01-07 03:15:00,LONG,4463.32,4471.1,4452.94,0.19,147.82,3.58,0.75,Opposite signal — full exit
2026-01-07 10:00:00,2026-01-07 13:45:00,LONG,4460.97,4449.23,4449.23,0.17,-199.55,1.19,-1.0,SL hit
2026-01-07 16:00:00,2026-01-07 16:30:00,LONG,4452.95,4439.16,4439.16,0.15,-206.82,0.1,-1.0,SL hit
2026-01-07 17:15:00,2026-01-07 17:15:00,SHORT,4426.7,4442.44,4442.44,0.13,-204.64,0.2,-1.0,SL hit
2026-01-07 18:30:00,2026-01-08 02:45:00,LONG,4457.88,4451.53,4441.57,0.12,-76.2,0.64,-0.39,Opposite signal — full exit
2026-01-08 08:45:00,2026-01-08 10:30:00,LONG,4435.85,4423.74,4423.74,0.17,-205.92,0.32,-1.0,SL hit
2026-01-08 14:15:00,2026-01-08 14:30:00,SHORT,4412.3,4422.45,4422.45,0.2,-203.08,0.43,-1.0,SL hit
2026-01-08 14:45:00,2026-01-08 15:00:00,LONG,4428.97,4417.58,4417.58,0.18,-205.07,0.13,-1.0,SL hit
2026-01-09 03:00:00,2026-01-09 04:00:00,SHORT,4462.25,4471.86,4471.86,0.21,-201.82,0.97,-1.0,SL hit
2026-01-09 04:15:00,2026-01-09 05:15:00,LONG,4471.78,4461.15,4461.15,0.19,-201.95,0.35,-1.0,SL hit
2026-01-09 20:00:00,2026-01-09 20:30:00,SHORT,4484.61,4499.8,4499.8,0.13,-197.47,0.1,-1.0,SL hit
2026-01-09 22:15:00,2026-01-12 02:15:00,LONG,4506.77,4556.77,4493.84,0.07,375.0,4.56,3.87,TP1 (+50pts) — 50% partial
2026-01-09 22:15:00,2026-01-12 04:15:00,LONG,4506.77,4566.81,4506.77,0.07,450.3,7.29,4.64,Opposite signal — runner 50%
2026-01-12 10:00:00,2026-01-12 16:15:00,LONG,4587.69,4596.38,4575.98,0.17,147.73,2.78,0.74,Opposite signal — full exit
2026-01-12 17:15:00,2026-01-12 20:30:00,LONG,4617.47,4605.63,4600.5,0.12,-142.08,0.75,-0.7,Opposite signal — full exit
2026-01-13 02:00:00,2026-01-13 02:30:00,LONG,4599.72,4585.38,4585.38,0.14,-200.75,0.01,-1.0,SL hit
2026-01-13 04:00:00,2026-01-13 04:45:00,SHORT,4577.94,4592.42,4592.42,0.14,-202.72,0.08,-1.0,SL hit
2026-01-13 05:15:00,2026-01-13 08:15:00,LONG,4597.75,4584.28,4584.28,0.15,-202.07,0.32,-1.0,SL hit
2026-01-13 08:30:00,2026-01-13 10:30:00,SHORT,4584.81,4595.67,4595.67,0.18,-195.55,1.02,-1.0,SL hit
2026-01-13 10:45:00,2026-01-13 12:00:00,LONG,4593.53,4582.12,4582.12,0.18,-205.33,0.18,-1.0,SL hit
2026-01-13 17:30:00,2026-01-14 02:15:00,SHORT,4608.79,4605.15,4624.62,0.13,47.32,2.5,0.23,Opposite signal — full exit
2026-01-14 08:00:00,2026-01-14 08:00:00,SHORT,4619.51,4631.05,4631.05,0.17,-196.26,0.11,-1.0,SL hit
2026-01-14 09:00:00,2026-01-14 10:00:00,LONG,4637.19,4625.32,4625.32,0.17,-201.75,0.2,-1.0,SL hit
2026-01-14 16:45:00,2026-01-14 20:15:00,SHORT,4618.91,4623.64,4631.76,0.16,-75.68,1.51,-0.37,Opposite signal — full exit
2026-01-14 23:45:00,2026-01-15 09:00:00,SHORT,4621.12,4610.13,4633.74,0.16,175.84,3.17,0.87,Opposite signal — full exit
2026-01-15 15:30:00,2026-01-15 17:00:00,SHORT,4605.74,4611.05,4615.25,0.21,-111.51,2.48,-0.56,Opposite signal — full exit
2026-01-15 22:30:00,2026-01-15 23:15:00,SHORT,4604.94,4615.21,4615.21,0.19,-195.17,0.14,-1.0,SL hit
2026-01-16 08:00:00,2026-01-16 08:30:00,LONG,4611.46,4602.36,4602.36,0.22,-200.21,0.09,-1.0,SL hit
2026-01-16 08:45:00,2026-01-16 09:00:00,SHORT,4596.05,4605.94,4605.94,0.2,-197.71,0.19,-1.0,SL hit
2026-01-16 09:15:00,2026-01-16 11:30:00,LONG,4609.94,4599.29,4599.29,0.19,-202.26,0.19,-1.0,SL hit
2026-01-16 15:00:00,2026-01-16 16:00:00,SHORT,4601.9,4601.92,4611.12,0.22,-0.44,2.08,-0.0,Opposite signal — full exit
2026-01-16 17:30:00,2026-01-16 18:00:00,SHORT,4564.98,4582.84,4582.84,0.11,-196.47,1.58,-1.0,SL hit
2026-01-16 18:15:00,2026-01-19 01:00:00,LONG,4592.71,4642.71,4570.57,0.04,225.0,3.12,2.26,TP1 (+50pts) — 50% partial
2026-01-16 18:15:00,2026-01-19 12:45:00,LONG,4592.71,4661.59,4592.71,0.04,309.96,4.42,3.11,Opposite signal — runner 50%
2026-01-19 18:00:00,2026-01-20 01:15:00,LONG,4674.38,4665.97,4665.97,0.24,-201.84,0.7,-1.0,SL hit
2026-01-20 01:30:00,2026-01-20 03:00:00,SHORT,4666.24,4672.71,4672.71,0.31,-200.59,1.04,-1.0,SL hit
2026-01-20 03:15:00,2026-01-20 09:15:00,LONG,4670.34,4720.34,4662.53,0.13,650.0,6.64,6.4,TP1 (+50pts) — 50% partial
2026-01-20 03:15:00,2026-01-20 15:30:00,LONG,4670.34,4719.34,4670.34,0.13,637.0,8.58,6.27,Opposite signal — runner 50%
2026-01-20 16:00:00,2026-01-20 17:15:00,LONG,4737.19,4726.52,4726.52,0.19,-202.72,1.27,-1.0,SL hit
2026-01-20 17:30:00,2026-01-20 17:45:00,SHORT,4724.21,4739.16,4739.16,0.13,-194.39,0.09,-1.0,SL hit
2026-01-20 18:45:00,2026-01-21 03:00:00,LONG,4745.33,4795.33,4730.36,0.07,325.0,4.32,3.34,TP1 (+50pts) — 50% partial
2026-01-20 18:45:00,2026-01-21 05:00:00,LONG,4745.33,4845.33,4745.33,0.07,650.0,6.99,6.68,TP2 (+100pts) — 50% close
2026-01-21 09:00:00,2026-01-21 10:15:00,SHORT,4847.61,4868.06,4868.06,0.1,-204.54,0.74,-1.0,SL hit
2026-01-21 10:30:00,2026-01-21 16:00:00,LONG,4866.74,4846.93,4846.93,0.1,-198.12,0.71,-1.0,SL hit
2026-01-21 16:15:00,2026-01-21 16:15:00,SHORT,4844.69,4863.04,4863.04,0.11,-201.84,0.14,-1.0,SL hit
2026-01-21 21:00:00,2026-01-21 21:15:00,LONG,4850.33,4826.47,4826.47,0.08,-190.85,0.15,-1.0,SL hit
2026-01-21 21:30:00,2026-01-21 21:30:00,SHORT,4816.06,4766.06,4842.6,0.04,200.0,1.89,1.88,TP1 (+50pts) — 50% partial
2026-01-21 21:30:00,2026-01-21 21:30:00,SHORT,4816.06,4816.06,4842.6,0.04,0.0,1.89,0.0,SL (breakeven) — runner 50%
2026-01-21 22:45:00,2026-01-22 01:15:00,LONG,4820.03,4789.3,4789.3,0.07,-215.08,0.65,-1.0,SL hit
2026-01-22 01:30:00,2026-01-22 08:00:00,SHORT,4794.97,4824.25,4824.25,0.07,-204.98,0.77,-1.0,SL hit
2026-01-22 11:45:00,2026-01-22 12:45:00,SHORT,4816.25,4829.89,4829.89,0.15,-204.66,0.12,-1.0,SL hit
2026-01-22 16:45:00,2026-01-22 17:00:00,LONG,4845.72,4831.73,4831.73,0.14,-195.93,0.06,-1.0,SL hit
2026-01-23 10:00:00,2026-01-23 12:30:00,SHORT,4944.47,4929.38,4956.86,0.16,241.44,3.61,1.22,Opposite signal — full exit
2026-01-26 07:15:00,2026-01-26 08:00:00,SHORT,5059.88,5078.44,5078.44,0.11,-204.2,0.41,-1.0,SL hit
2026-01-26 08:45:00,2026-01-26 15:00:00,LONG,5091.81,5071.63,5071.63,0.1,-201.82,0.96,-1.0,SL hit
