entry_time,exit_time,direction,entry_price,exit_price,sl_price,lots,pnl,highest_rr,closed_rr,exit_reason
2024-01-03 11:15:00,2024-01-03 20:00:00,SHORT,4734.99,4720.0,4737.88,69.17,1036.86,10.66,5.18,Opposite signal — full exit
2024-01-03 21:30:00,2024-01-03 21:45:00,LONG,4726.81,4720.47,4720.47,31.52,-199.97,0.35,-1.0,SL hit
2024-01-03 23:00:00,2024-01-04 08:45:00,SHORT,4704.91,4709.11,4713.71,22.74,-95.51,0.28,-0.48,Opposite signal — full exit
2024-01-04 09:00:00,2024-01-04 10:45:00,LONG,4713.11,4710.57,4710.57,78.6,-200.01,1.38,-1.0,SL hit
2024-01-04 13:45:00,2024-01-04 14:30:00,SHORT,4707.48,4711.31,4711.31,52.28,-200.0,1.27,-1.0,SL hit
2024-01-04 17:15:00,2024-01-04 19:00:00,LONG,4716.61,4709.76,4709.76,29.21,-200.02,1.41,-1.0,SL hit
2024-01-04 21:30:00,2024-01-05 16:15:00,SHORT,4702.25,4683.19,4708.89,30.1,573.71,5.93,2.87,Opposite signal — full exit
2024-01-05 16:30:00,2024-01-05 19:00:00,LONG,4690.03,4704.73,4683.21,29.31,430.86,4.57,2.15,Opposite signal — full exit
2024-01-05 19:30:00,2024-01-05 20:30:00,SHORT,4690.47,4700.04,4700.04,20.9,-199.96,0.73,-1.0,SL hit
2024-01-08 14:15:00,2024-01-09 10:00:00,LONG,4695.23,4755.43,4690.26,40.28,2424.86,14.01,12.12,Opposite signal — full exit
2024-01-09 10:45:00,2024-01-09 11:00:00,SHORT,4748.7,4750.87,4750.87,91.96,-200.0,1.92,-1.0,SL hit
2024-01-09 18:30:00,2024-01-10 13:30:00,LONG,4749.38,4755.58,4743.91,36.57,226.73,2.98,1.13,Opposite signal — full exit
2024-01-10 14:00:00,2024-01-10 14:00:00,SHORT,4753.25,4756.57,4756.57,60.23,-200.01,0.0,-1.0,SL hit
2024-01-10 16:45:00,2024-01-10 16:45:00,LONG,4768.05,4763.46,4763.46,43.55,-199.99,0.11,-1.0,SL hit
2024-01-11 12:45:00,2024-01-11 13:00:00,SHORT,4788.16,4791.28,4791.28,64.06,-199.99,0.32,-1.0,SL hit
2024-01-11 16:30:00,2024-01-11 16:45:00,LONG,4791.16,4783.59,4783.59,26.43,-200.03,0.85,-1.0,SL hit
2024-01-11 17:15:00,2024-01-11 17:15:00,SHORT,4753.86,4764.37,4764.37,19.03,-199.99,0.12,-1.0,SL hit
2024-01-11 21:00:00,2024-01-12 09:45:00,LONG,4775.08,4768.57,4764.48,18.87,-122.84,1.06,-0.61,Opposite signal — full exit
2024-01-12 10:00:00,2024-01-12 10:00:00,SHORT,4767.27,4770.69,4770.69,58.43,-200.01,0.0,-1.0,SL hit
2024-01-12 10:15:00,2024-01-12 13:15:00,LONG,4777.55,4773.47,4773.47,49.01,-200.01,2.38,-1.0,SL hit
2024-01-12 13:45:00,2024-01-12 15:30:00,SHORT,4768.41,4773.7,4773.7,37.8,-200.01,2.01,-1.0,SL hit
2024-01-12 16:00:00,2024-01-12 17:30:00,LONG,4780.61,4773.8,4773.8,29.35,-200.01,3.09,-1.0,SL hit
2024-01-12 18:00:00,2024-01-12 18:15:00,SHORT,4773.97,4783.43,4783.43,21.15,-200.01,0.21,-1.0,SL hit
2024-01-15 09:15:00,2024-01-15 09:15:00,LONG,4787.96,4785.51,4785.51,81.47,-200.01,0.0,-1.0,SL hit
2024-01-15 10:45:00,2024-01-16 13:45:00,SHORT,4780.33,4757.96,4783.47,63.76,1426.31,9.2,7.13,Opposite signal — full exit
2024-01-16 14:00:00,2024-01-16 16:30:00,LONG,4763.46,4758.83,4758.83,43.22,-200.0,1.73,-1.0,SL hit
2024-01-16 16:45:00,2024-01-16 17:00:00,SHORT,4756.58,4763.42,4763.42,29.23,-199.98,0.95,-1.0,SL hit
2024-01-16 17:30:00,2024-01-16 18:00:00,LONG,4775.91,4767.66,4767.66,24.24,-200.03,0.71,-1.0,SL hit
2024-01-16 20:00:00,2024-01-16 20:15:00,SHORT,4755.43,4764.77,4764.77,21.41,-199.99,0.13,-1.0,SL hit
2024-01-17 14:30:00,2024-01-17 15:00:00,LONG,4751.01,4746.32,4746.32,42.69,-200.01,0.11,-1.0,SL hit
2024-01-17 15:45:00,2024-01-17 18:00:00,SHORT,4737.19,4742.13,4742.13,40.48,-200.0,2.54,-1.0,SL hit
2024-01-17 23:00:00,2024-01-18 19:00:00,LONG,4738.11,4760.42,4731.28,29.27,653.01,4.13,3.27,Opposite signal — full exit
2024-01-18 19:15:00,2024-01-18 21:00:00,SHORT,4750.31,4758.27,4758.27,25.12,-200.03,1.21,-1.0,SL hit
2024-01-18 21:15:00,2024-01-19 16:00:00,LONG,4762.55,4799.45,4754.29,24.21,893.35,5.69,4.47,Opposite signal — full exit
2024-01-19 16:30:00,2024-01-19 17:00:00,SHORT,4790.55,4795.16,4795.16,43.35,-199.99,1.3,-1.0,SL hit
2024-01-19 18:15:00,2024-01-22 17:45:00,LONG,4803.98,4855.36,4796.27,25.94,1332.8,8.19,6.66,Opposite signal — full exit
2024-01-22 18:00:00,2024-01-22 18:30:00,SHORT,4850.96,4856.77,4856.77,34.4,-200.03,0.84,-1.0,SL hit
2024-01-23 15:15:00,2024-01-23 16:30:00,LONG,4854.14,4851.35,4851.35,71.7,-200.01,2.49,-1.0,SL hit
2024-01-23 17:45:00,2024-01-23 19:45:00,SHORT,4848.87,4853.48,4853.48,43.34,-199.98,1.04,-1.0,SL hit
2024-01-23 22:00:00,2024-01-24 16:45:00,LONG,4858.53,4886.18,4854.13,45.49,1257.8,8.08,6.29,Opposite signal — full exit
2024-01-24 20:45:00,2024-01-25 15:30:00,SHORT,4886.46,4873.48,4890.01,56.33,731.16,7.61,3.66,Opposite signal — full exit
2024-01-25 15:45:00,2024-01-25 19:00:00,LONG,4886.36,4881.36,4881.36,40.02,-199.98,2.39,-1.0,SL hit
2024-01-25 20:30:00,2024-01-25 22:30:00,SHORT,4877.0,4884.94,4884.94,25.2,-200.01,1.04,-1.0,SL hit
2024-01-25 23:00:00,2024-01-26 01:00:00,LONG,4895.76,4887.25,4887.25,23.5,-199.96,0.12,-1.0,SL hit
2024-01-26 06:45:00,2024-01-26 07:15:00,SHORT,4874.41,4878.19,4878.19,52.88,-200.0,0.39,-1.0,SL hit
2024-01-26 11:45:00,2024-01-26 19:30:00,LONG,4882.05,4898.16,4877.91,48.36,779.08,5.92,3.9,Opposite signal — full exit
2024-01-26 19:45:00,2024-01-26 21:45:00,SHORT,4888.32,4895.75,4895.75,26.92,-199.98,1.04,-1.0,SL hit
2024-01-29 10:45:00,2024-01-29 11:15:00,LONG,4893.11,4890.66,4890.66,81.47,-200.0,0.2,-1.0,SL hit
2024-01-29 12:00:00,2024-01-29 12:00:00,SHORT,4886.36,4889.14,4889.14,72.03,-200.01,0.27,-1.0,SL hit
2024-01-29 14:30:00,2024-01-29 14:30:00,LONG,4894.36,4891.69,4891.69,75.04,-200.0,0.0,-1.0,SL hit
2024-01-30 13:15:00,2024-01-30 16:30:00,SHORT,4921.48,4923.89,4923.89,83.05,-200.0,2.96,-1.0,SL hit
2024-01-30 16:45:00,2024-01-30 17:00:00,LONG,4924.61,4921.29,4921.29,60.2,-199.99,1.04,-1.0,SL hit
2024-01-30 19:45:00,2024-01-30 20:15:00,SHORT,4919.04,4923.85,4923.85,41.57,-200.01,0.63,-1.0,SL hit
