entry_time,exit_time,direction,entry_price,exit_price,sl_price,lots,pnl,highest_rr,closed_rr,exit_reason
2026-04-21 05:15:00,2026-04-21 17:30:00,SHORT,4807.18,4757.18,4817.56,0.1,475.0,6.18,4.82,TP1 (+50pts) — 50% partial
2026-04-21 05:15:00,2026-04-21 20:00:00,SHORT,4807.18,4707.18,4807.18,0.1,950.0,10.2,9.63,TP2 (+100pts) — 50% close
2026-04-22 03:00:00,2026-04-22 15:45:00,LONG,4738.01,4746.69,4714.66,0.09,78.12,1.47,0.37,Opposite signal — full exit
2026-04-22 16:00:00,2026-04-22 16:30:00,SHORT,4744.33,4754.9,4754.9,0.19,-200.88,0.75,-1.0,SL hit
2026-04-23 03:30:00,2026-04-23 04:45:00,LONG,4741.45,4725.74,4725.74,0.13,-204.21,0.77,-1.0,SL hit
2026-04-23 05:15:00,2026-04-23 08:30:00,SHORT,4707.1,4703.47,4724.36,0.12,43.56,0.89,0.21,End of data
