entry_time,exit_time,direction,entry_price,exit_price,sl_price,lots,pnl,highest_rr,closed_rr,exit_reason
2026-04-02 04:15:00,2026-04-02 04:15:00,SHORT,4750.95,4703.68,4774.58,0.04,189.06,2.88,2.0,TP1 (1:2) — 50% partial
2026-04-02 04:15:00,2026-04-02 04:15:00,SHORT,4750.95,4750.95,4774.58,0.04,0.0,2.88,0.0,SL (breakeven) — runner 50%
2026-04-02 17:00:00,2026-04-06 01:00:00,LONG,4646.36,4613.95,4613.95,0.06,-194.46,1.65,-1.0,SL hit
2026-04-06 01:15:00,2026-04-06 05:15:00,SHORT,4629.64,4654.93,4654.93,0.08,-202.29,1.14,-1.0,SL hit
2026-04-06 05:30:00,2026-04-06 06:00:00,LONG,4661.14,4632.37,4632.37,0.07,-201.37,0.17,-1.0,SL hit
2026-04-06 15:30:00,2026-04-06 17:00:00,SHORT,4666.03,4682.95,4682.95,0.12,-202.99,0.36,-1.0,SL hit
2026-04-07 11:30:00,2026-04-07 13:30:00,LONG,4678.45,4657.8,4657.8,0.1,-206.48,0.78,-1.0,SL hit
2026-04-07 14:15:00,2026-04-07 14:30:00,SHORT,4635.7,4659.19,4659.19,0.09,-211.44,0.11,-1.0,SL hit
2026-04-07 21:00:00,2026-04-08 01:00:00,LONG,4675.83,4725.1,4651.2,0.04,197.06,3.06,2.0,TP1 (1:2) — 50% partial
2026-04-07 21:00:00,2026-04-08 11:45:00,LONG,4675.83,4793.57,4675.83,0.04,470.96,7.38,4.78,Opposite signal — runner 50%
2026-04-09 13:45:00,2026-04-09 16:30:00,LONG,4740.79,4772.06,4725.15,0.07,203.27,2.33,2.0,TP1 (1:2) — 50% partial
2026-04-09 13:45:00,2026-04-10 01:45:00,LONG,4740.79,4761.28,4740.79,0.07,133.18,3.87,1.31,Opposite signal — runner 50%
2026-04-10 14:45:00,2026-04-10 17:15:00,LONG,4767.19,4792.46,4754.56,0.08,202.15,2.03,2.0,TP1 (1:2) — 50% partial
2026-04-10 14:45:00,2026-04-10 18:30:00,LONG,4767.19,4767.19,4754.56,0.08,0.0,2.2,0.0,SL (breakeven) — runner 50%
2026-04-10 19:30:00,2026-04-13 01:00:00,SHORT,4758.64,4721.16,4777.38,0.06,206.16,5.07,2.0,TP1 (1:2) — 50% partial
2026-04-10 19:30:00,2026-04-13 04:00:00,SHORT,4758.64,4695.56,4758.64,0.06,346.94,6.12,3.37,Opposite signal — runner 50%
2026-04-13 18:30:00,2026-04-13 19:15:00,SHORT,4703.85,4721.98,4721.98,0.11,-199.4,0.08,-1.0,SL hit
2026-04-13 19:45:00,2026-04-14 04:00:00,LONG,4740.25,4776.34,4722.21,0.06,198.49,2.04,2.0,TP1 (1:2) — 50% partial
2026-04-13 19:45:00,2026-04-15 06:15:00,LONG,4740.25,4820.85,4740.25,0.06,443.3,7.25,4.47,Opposite signal — runner 50%
2026-04-15 17:00:00,2026-04-15 17:30:00,LONG,4828.99,4815.55,4815.55,0.15,-201.64,0.11,-1.0,SL hit
2026-04-15 18:30:00,2026-04-15 19:15:00,SHORT,4798.21,4812.62,4812.62,0.14,-201.8,0.78,-1.0,SL hit
2026-04-16 02:15:00,2026-04-16 03:30:00,LONG,4812.69,4835.1,4801.49,0.09,201.68,2.24,2.0,TP1 (1:2) — 50% partial
2026-04-16 02:15:00,2026-04-16 04:30:00,LONG,4812.69,4812.69,4801.49,0.09,0.0,2.24,0.0,SL (breakeven) — runner 50%
2026-04-16 11:15:00,2026-04-16 16:30:00,SHORT,4811.56,4823.91,4823.91,0.16,-197.57,0.52,-1.0,SL hit
2026-04-17 06:15:00,2026-04-17 09:30:00,LONG,4795.93,4783.02,4783.02,0.15,-193.72,0.79,-1.0,SL hit
2026-04-17 15:30:00,2026-04-17 15:45:00,LONG,4816.78,4841.37,4804.48,0.08,196.76,2.52,2.0,TP1 (1:2) — 50% partial
2026-04-17 15:30:00,2026-04-17 23:45:00,LONG,4816.78,4835.82,4816.78,0.08,152.32,5.88,1.55,Opposite signal — runner 50%
2026-04-20 04:30:00,2026-04-20 08:30:00,LONG,4802.89,4781.15,4781.15,0.09,-195.68,0.53,-1.0,SL hit
2026-04-21 05:15:00,2026-04-21 08:00:00,SHORT,4807.18,4786.43,4817.55,0.1,197.11,2.05,2.0,TP1 (1:2) — 50% partial
2026-04-21 05:15:00,2026-04-21 23:00:00,SHORT,4807.18,4697.04,4807.18,0.1,1046.33,13.39,10.62,End of data
