entry_time,exit_time,direction,entry_price,exit_price,sl_price,lots,pnl,highest_rr,closed_rr,exit_reason
2024-01-03 11:00:00,2024-01-04 08:45:00,SHORT,16498.45,16385.63,16522.79,8.22,927.38,6.05,4.64,Opposite signal — full exit
2024-01-04 09:00:00,2024-01-04 10:45:00,LONG,16402.48,16383.79,16383.79,10.7,-199.95,0.95,-1.0,SL hit
2024-01-04 11:00:00,2024-01-04 11:15:00,SHORT,16383.36,16406.93,16406.93,8.49,-200.07,0.02,-1.0,SL hit
2024-01-04 17:15:00,2024-01-04 21:15:00,LONG,16358.56,16334.95,16303.81,3.65,-86.18,1.14,-0.43,Opposite signal — full exit
2024-01-04 21:30:00,2024-01-05 16:00:00,SHORT,16316.43,16241.69,16370.09,3.73,278.78,2.6,1.39,Opposite signal — full exit
2024-01-05 16:15:00,2024-01-05 19:00:00,LONG,16261.41,16358.46,16217.44,4.55,441.58,3.57,2.21,Opposite signal — full exit
2024-01-05 19:15:00,2024-01-08 13:30:00,SHORT,16316.51,16282.31,16383.33,2.99,102.26,1.43,0.51,Opposite signal — full exit
2024-01-08 13:45:00,2024-01-09 10:00:00,LONG,16305.31,16611.31,16267.77,5.33,1630.98,9.3,8.15,Opposite signal — full exit
2024-01-09 10:15:00,2024-01-09 17:00:00,SHORT,16597.35,16548.81,16613.39,12.47,605.29,5.83,3.03,Opposite signal — full exit
2024-01-09 17:15:00,2024-01-10 13:45:00,LONG,16577.61,16704.53,16533.46,4.53,574.95,3.91,2.87,Opposite signal — full exit
2024-01-10 14:00:00,2024-01-10 17:15:00,SHORT,16693.43,16695.43,16722.43,6.9,-13.8,1.48,-0.07,Opposite signal — full exit
2024-01-10 17:30:00,2024-01-11 11:30:00,LONG,16707.34,16869.93,16663.06,4.52,734.91,4.41,3.67,Opposite signal — full exit
2024-01-11 11:45:00,2024-01-11 15:15:00,SHORT,16853.06,16879.02,16879.02,7.7,-199.88,0.2,-1.0,SL hit
2024-01-11 17:15:00,2024-01-11 17:30:00,SHORT,16696.43,16779.07,16779.07,2.42,-199.98,0.08,-1.0,SL hit
2024-01-11 21:00:00,2024-01-12 09:30:00,LONG,16790.78,16795.28,16707.05,2.39,10.76,0.58,0.05,Opposite signal — full exit
2024-01-12 09:45:00,2024-01-12 10:15:00,SHORT,16781.44,16806.97,16806.97,7.83,-199.88,0.34,-1.0,SL hit
2024-01-12 10:30:00,2024-01-12 11:45:00,LONG,16818.76,16789.7,16789.7,6.88,-199.94,0.57,-1.0,SL hit
2024-01-12 13:00:00,2024-01-12 15:30:00,SHORT,16782.53,16818.98,16818.98,5.49,-200.11,1.56,-1.0,SL hit
2024-01-12 16:00:00,2024-01-12 17:45:00,LONG,16820.97,16774.09,16774.09,4.27,-200.18,1.67,-1.0,SL hit
