date_entry,date_exit,direction,entry,sl,tp1,tp2,tp3,qty,risk_usd,sl_bucket,tp1_hit,tp2_hit,exit_reason,exit_price,pnl,r_multiple
2026-01-02 04:45:00+00:00,2026-01-02 06:00:00+00:00,BUY,4354.86,4343.781014408853,4365.938985591147,4371.47847838672,4377.017971182294,9.0261,100.0,SL <= 15.0,True,True,TP3,4377.017971182294,200.0,2.0
2026-01-02 07:25:00+00:00,2026-01-02 10:45:00+00:00,BUY,4378.39,4370.429891378914,4386.350108621086,4390.330162931629,4394.310217242172,12.5626,100.0,SL <= 15.0,True,True,TP3,4394.310217242172,200.0,2.0
2026-01-02 15:10:00+00:00,2026-01-02 15:20:00+00:00,BUY,4399.74,4386.111282634709,4413.368717365291,4420.183076047936,4426.9974347305815,7.3374,100.0,SL <= 15.0,False,False,SL,4386.111282634709,-100.0,-1.0
2026-01-02 16:30:00+00:00,2026-01-02 20:10:00+00:00,SELL,4355.19,4375.433419007211,4334.946580992788,4324.8248714891815,4314.703161985576,4.9399,100.0,SL 15.0-30.0,True,True,TP3,4314.703161985576,200.0,2.0
2026-01-02 22:25:00+00:00,2026-01-05 01:05:00+00:00,BUY,4328.41,4316.878627157091,4339.941372842909,4345.707059264363,4351.472745685818,8.672,100.0,SL <= 15.0,True,True,TP3,4351.472745685818,200.0,2.0
2026-01-05 01:50:00+00:00,2026-01-05 03:00:00+00:00,BUY,4373.4,4352.502867318908,4394.297132681091,4404.745699021637,4415.194265362183,4.7853,100.0,SL 15.0-30.0,True,True,TP3,4415.194265362183,200.0,2.0
2026-01-05 08:05:00+00:00,2026-01-05 15:25:00+00:00,BUY,4414.76,4399.717340408324,4429.802659591676,4437.323989387514,4444.845319183352,6.6478,100.0,SL 15.0-30.0,True,True,SL,4399.717340408324,-100.0,-1.0
2026-01-05 16:00:00+00:00,2026-01-05 17:00:00+00:00,BUY,4422.39,4409.244330143959,4435.535669856042,4442.1085047840625,4448.681339712083,7.6071,100.0,SL <= 15.0,True,True,TP3,4448.681339712083,200.0,2.0
2026-01-05 18:50:00+00:00,2026-01-05 19:00:00+00:00,BUY,4452.57,4438.476400380002,4466.6635996199975,4473.710399429996,4480.757199239995,7.0954,100.0,SL <= 15.0,False,False,SL,4438.476400380002,-100.0,-1.0
2026-01-05 23:05:00+00:00,2026-01-06 02:00:00+00:00,BUY,4447.31,4436.907148392264,4457.712851607736,4462.914277411604,4468.115703215472,9.6127,100.0,SL <= 15.0,True,False,SL,4436.907148392264,-100.0,-1.0
